Country,Region,Ranking,Number,GDP per capita
Afghanistan,Southern Asia,153,2,0.382 
Albania,Central and Eastern Europe,66,8.3,0.955 
Algeria,Middle East and Northern Africa,130,4,1.053 
Angola,Sub-Saharan Africa,108,5.7,0.847 
Argentina,Latin America and Caribbean,95,6.2,1.151 
Armenia,Central and Eastern Europe,122,4.7,0.861 
Australia,Australia and New Zealand,19,17.4,1.444 
Austria,Western Europe,128,4.2,1.450 
Azerbaijan,Central and Eastern Europe,100,6,1.124 
Bahrain,Middle East and Northern Africa,67,8.3,1.440 
Bangladesh,Southern Asia,106,5.7,0.542 
Belarus,Central and Eastern Europe,73,8,1.131 
Belgium,Western Europe,157,0.5,1.425 
Belize,Latin America and Caribbean,37,12.2,0.876 
Benin,Sub-Saharan Africa,24,15.5,0.395 
Bhutan,Southern Asia,131,4,0.853 
Bolivia,Latin America and Caribbean,91,6.4,0.794 
Bosnia and Herzegovina,Central and Eastern Europe,15,19.3,0.934 
Botswana,Sub-Saharan Africa,74,8,1.094 
Brazil,Latin America and Caribbean,75,7.8,1.088 
Bulgaria,Central and Eastern Europe,138,3.4,1.113 
Burkina Faso,Sub-Saharan Africa,52,9.7,0.320 
Burundi,Sub-Saharan Africa,77,7.7,0.068 
Cambodia,Southeastern Asia,137,3.6,0.556 
Cameroon,Sub-Saharan Africa,45,10.5,0.525 
Canada,North America,7,24.2,1.440 
Chad,Sub-Saharan Africa,13,21,0.422 
Chile,Latin America and Caribbean,104,5.8,1.217 
China,Eastern Asia,101,6,1.028 
Colombia,Latin America and Caribbean,88,6.6,1.030 
Comoros,Sub-Saharan Africa,102,6,0.275 
Congo,Sub-Saharan Africa,156,0.6,0.771 
Dem. Rep. Congo,Sub-Saharan Africa,144,2.6,0.057 
Costa Rica,Latin America and Caribbean,17,17.8,1.069 
Croatia,Central and Eastern Europe,31,13.7,1.186 
Cyprus,Western Europe,40,11.9,1.319 
Czechia,Central and Eastern Europe,30,14,1.309 
Denmark,Western Europe,126,4.5,1.442 
Dominican Rep.,Latin America and Caribbean,29,14.1,1.028 
Ecuador,Latin America and Caribbean,117,5,0.973 
Egypt,Middle East and Northern Africa,48,10,0.954 
El Salvador,Latin America and Caribbean,69,8.2,0.874 
Estonia,Central and Eastern Europe,54,9.6,1.280 
Ethiopia,Sub-Saharan Africa,58,9.2,0.293 
Finland,Western Europe,90,6.5,1.406 
France,Western Europe,87,6.7,1.395 
Gabon,Sub-Saharan Africa,129,4.2,1.159 
Georgia,Central and Eastern Europe,111,5.5,0.838 
